Player,Pos,Team,PassingAtt,Completions,PassingYds,PassingTD,Interceptions,RushingAtt,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FumblesLost,FantasyPoints
Calvin Austin III,WR,PIT,0.00,0.00,0.00,0.00,0.00,9.00,53.80,0.40,18.00,236.60,0.90,0.30,0.00
Devontez Walker,WR,BAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.80,228.20,1.60,0.10,0.00
KhaDarel Hodge,WR,ATL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.60,230.60,1.50,0.20,0.00
Treylon Burks,WR,TEN,0.00,0.00,0.00,0.00,0.00,3.50,21.10,0.10,17.40,237.20,0.80,0.20,0.00
Justin Watson,WR,KC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.20,218.50,1.70,0.20,0.00
Bub Means,WR,NO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.10,217.90,1.50,0.10,0.00
Brandon Powell,WR,MIN,0.00,0.00,0.00,0.00,0.00,3.90,21.10,0.10,18.80,190.80,1.10,0.30,0.00
Jake Bobo,WR,SEA,0.00,0.00,0.00,0.00,0.00,8.40,51.10,0.50,14.70,158.50,1.00,0.20,0.00
Tre Tucker,WR,LV,0.00,0.00,0.00,0.00,0.00,12.00,76.90,0.50,13.40,163.70,0.70,0.30,0.00
Xavier Gipson,WR,NYJ,0.00,0.00,0.00,0.00,0.00,4.40,28.40,0.30,13.70,167.50,1.40,0.20,0.00
Jauan Jennings,WR,SF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.50,195.50,1.20,0.20,0.00
Marquez Valdes-Scantling,WR,BUF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.80,193.30,1.10,0.10,0.00
Derius Davis,WR,LAC,0.00,0.00,0.00,0.00,0.00,13.40,85.90,0.30,10.80,111.10,0.80,0.20,0.00
Parris Campbell,WR,PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.10,169.10,0.90,0.20,0.00
Cedric Tillman,WR,CLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.30,155.80,1.00,0.10,0.00
Ryan Flournoy,WR,DAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.20,133.70,1.00,0.10,0.00
Jason Brownlee,WR,NYJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.80,125.50,1.10,0.10,0.00
Allen Robinson II,WR,NYG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.20,124.10,0.70,0.10,0.00
Malik Washington,WR,MIA,0.00,0.00,0.00,0.00,0.00,2.10,12.50,0.10,10.40,124.40,0.70,0.10,0.00
JuJu Smith-Schuster,WR,NE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.50,131.90,0.50,0.20,0.00
Bo Melton,WR,GB,0.00,0.00,0.00,0.00,0.00,2.10,13.00,0.10,9.80,114.30,0.80,0.10,0.00
Devin Duvernay,WR,JAC,0.00,0.00,0.00,0.00,0.00,2.00,13.10,0.10,11.60,111.10,0.70,0.10,0.00
Tyler Johnson,WR,LAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.70,125.00,0.70,0.10,0.00
Trent Sherfield Sr.,WR,MIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.70,126.90,0.80,0.10,0.00
Ray-Ray McCloud III,WR,ATL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.60,115.10,0.80,0.10,0.00
David Moore,WR,CAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.50,122.30,0.60,0.10,0.00
Skyy Moore,WR,KC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.90,111.40,0.90,0.10,0.00
Ainias Smith,WR,PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.80,115.50,0.70,0.10,0.00
Dyami Brown,WR,WAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,126.10,0.60,0.10,0.00
Javon Baker,WR,NE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,115.30,0.60,0.10,0.00
K.J. Osborn,WR,NE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.10,106.50,0.60,0.10,0.00
Donovan Peoples-Jones,WR,DET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.30,105.00,0.60,0.10,0.00
Kadarius Toney,WR,KC,0.00,0.00,0.00,0.00,0.00,7.70,41.50,0.40,5.60,54.80,0.50,0.10,0.00
Laviska Shenault Jr.,WR,SEA,0.00,0.00,0.00,0.00,0.00,4.20,22.40,0.20,7.80,77.50,0.40,0.10,0.00
Jordan Whittington,WR,LAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,85.40,0.50,0.00,0.00
Mack Hollins,WR,BUF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.50,79.50,0.60,0.10,0.00
Johnny Wilson,WR,PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.50,75.80,0.50,0.00,0.00
Tyler Scott,WR,CHI,0.00,0.00,0.00,0.00,0.00,4.20,25.80,0.20,4.70,54.80,0.40,0.10,0.00
Quez Watkins,WR,PIT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.40,76.10,0.40,0.10,0.00
Jalen Nailor,WR,MIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,73.20,0.30,0.10,0.00
David Bell,WR,CLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.70,70.40,0.30,0.10,0.00
Anthony Gould,WR,IND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.20,70.00,0.30,0.00,0.00
Isaiah McKenzie,WR,NYG,0.00,0.00,0.00,0.00,0.00,7.60,40.60,0.30,4.00,31.80,0.20,0.10,0.00
John Metchie III,WR,HOU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.90,61.00,0.40,0.10,0.00
Rakim Jarrett,WR,TB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.10,60.80,0.40,0.10,0.00
Nick Westbrook-Ikhine,WR,TEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,61.20,0.40,0.10,0.00
Ihmir Smith-Marsette,WR,CAR,0.00,0.00,0.00,0.00,0.00,4.20,28.30,0.30,3.20,37.60,0.20,0.10,0.00
Braxton Berrios,WR,MIA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.70,53.80,0.30,0.10,0.00
Jalen Brooks,WR,DAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.80,42.80,0.30,0.00,0.00
Jalen Reagor,WR,NE,0.00,0.00,0.00,0.00,0.00,2.00,12.00,0.10,2.70,39.20,0.20,0.10,0.00
Casey Washington,WR,ATL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,41.20,0.30,0.00,0.00
Charlie Jones,WR,CIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.80,41.20,0.30,0.00,0.00
Dee Eskridge,WR,SEA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.10,38.70,0.20,0.00,0.00
Deonte Harty,WR,BAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,37.30,0.20,0.00,0.00
Travis Kelce,TE,KC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.60,998.90,7.50,0.70,0.00
Mark Andrews,TE,BAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.30,861.20,9.10,0.30,0.00
Sam LaPorta,TE,DET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.00,852.20,7.80,0.10,0.00
George Kittle,TE,SF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.90,880.80,5.80,0.20,0.00
David Njoku,TE,CLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.90,820.70,6.30,1.30,0.00
Trey McBride,TE,ARI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.00,848.00,4.20,0.30,0.00
Evan Engram,TE,JAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.40,801.80,4.00,0.90,0.00
Kyle Pitts,TE,ATL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.10,855.20,4.60,0.10,0.00
Jake Ferguson,TE,DAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.20,720.00,6.20,0.10,0.00
Dalton Kincaid,TE,BUF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.40,748.40,4.50,0.70,0.00
T.J. Hockenson,TE,MIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.20,749.70,4.00,0.70,0.00
Dallas Goedert,TE,PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.90,701.60,4.50,0.20,0.00
Cole Kmet,TE,CHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.90,616.40,5.40,0.20,0.00
Dalton Schultz,TE,HOU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.60,596.70,5.10,0.70,0.00
Brock Bowers,TE,LV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.90,650.90,3.90,1.20,0.00
Pat Freiermuth,TE,PIT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.40,563.90,4.40,0.20,0.00
Tyler Conklin,TE,NYJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.80,568.80,3.40,0.20,0.00
Hunter Henry,TE,NE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00,452.00,5.40,0.10,0.00
Juwan Johnson,TE,NO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00,470.10,5.00,0.10,0.00
Cade Otton,TE,TB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.60,477.10,3.70,0.60,0.00
Chigoziem Okonkwo,TE,TEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.70,517.70,2.60,0.10,0.00
Isaiah Likely,TE,BAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.30,420.10,5.10,0.10,0.00
Luke Musgrave,TE,GB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.10,470.90,3.00,0.10,0.00
Jonnu Smith,TE,MIA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.30,447.30,3.20,0.60,0.00
Tyler Higbee,TE,LAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.20,430.40,2.30,0.10,0.00
Hayden Hurst,TE,LAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.20,393.90,3.10,0.20,0.00
Ben Sinnott,TE,WAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.70,410.40,2.90,0.60,0.00
Noah Fant,TE,SEA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.10,434.40,2.00,0.10,0.00
Dawson Knox,TE,BUF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.90,319.10,4.20,0.10,0.00
Mike Gesicki,TE,CIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,333.10,3.70,0.10,0.00
Tucker Kraft,TE,GB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,371.20,2.80,0.10,0.00
Greg Dulcich,TE,DEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,401.20,1.70,0.10,0.00
Michael Mayer,TE,LV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.60,361.90,2.10,0.10,0.00
Gerald Everett,TE,CHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.30,302.50,2.70,0.10,0.00
Zach Ertz,TE,WAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.10,280.20,2.60,0.10,0.00
Noah Gray,TE,KC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.30,292.70,2.10,0.10,0.00
Tommy Tremble,TE,CAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.10,226.10,3.50,0.10,0.00
Theo Johnson,TE,NYG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.40,302.60,1.70,0.60,0.00
Jelani Woods,TE,IND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.10,299.50,2.10,0.10,0.00
Taysom Hill,TE,NO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.60,271.50,2.30,0.70,0.00
Daniel Bellinger,TE,NYG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.50,303.50,1.20,0.10,0.00
Brevin Jordan,TE,HOU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.90,264.50,3.00,0.00,0.00
Logan Thomas,TE,SF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,260.00,3.00,1.00,0.00
Kylen Granson,TE,IND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.30,286.50,1.60,0.10,0.00
Colby Parkinson,TE,LAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.50,242.00,2.20,0.10,0.00
Durham Smythe,TE,MIA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.40,264.70,1.40,0.00,0.00
Elijah Higgins,TE,ARI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.30,262.00,1.40,0.10,0.00
Adam Trautman,TE,DEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.80,210.90,2.20,0.10,0.00
Johnny Mundt,TE,MIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,228.00,1.60,0.10,0.00
Brock Wright,TE,DET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,203.10,2.10,0.10,0.00
Josh Oliver,TE,MIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.80,221.80,1.70,0.60,0.00
Ja'Tavion Sanders,TE,CAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.10,221.90,1.60,0.60,0.00
Donald Parham Jr.,TE,LAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.80,167.90,2.70,0.00,0.00
Will Dissly,TE,LAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.10,213.30,1.20,0.10,0.00
Connor Heyward,TE,PIT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.60,205.10,1.20,0.10,0.00
Austin Hooper,TE,NE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.50,200.60,1.10,0.10,0.00
Mo Alie-Cox,TE,IND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.40,143.70,2.80,0.00,0.00
Tanner Hudson,TE,CIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,197.20,1.00,0.10,0.00
Teagan Quitoriano,TE,HOU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,178.00,2.00,0.00,0.00
Jeremy Ruckert,TE,NYJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.50,171.70,1.40,0.10,0.00
Quintin Morris,TE,BUF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,119.00,2.00,0.00,0.00
Stephen Sullivan,TE,CAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.30,156.70,0.90,0.00,0.00
Foster Moreau,TE,NO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.40,151.10,1.20,0.10,0.00
John Bates,TE,WAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,145.00,1.00,0.00,0.00
Ben Sims,TE,GB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,93.00,2.00,0.00,0.00
MyCole Pruitt,TE,PIT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,102.00,2.00,0.00,0.00
Ian Thomas,TE,CAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.20,143.90,0.70,0.00,0.00
Brenton Strange,TE,JAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.90,109.50,1.40,0.00,0.00
Luke Schoonmaker,TE,DAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.20,125.40,1.10,0.10,0.00
Jordan Akins,TE,CLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.10,127.00,1.00,0.10,0.00
Stone Smartt,TE,LAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.50,137.00,0.90,0.00,0.00
Tanner McLachlan,TE,CIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,124.00,1.00,0.00,0.00
Trey Knox,TE,MIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,125.00,1.00,0.00,0.00
James Mitchell,TE,DET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,124.00,1.00,0.00,0.00
Pharaoh Brown,TE,SEA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.70,137.90,0.80,0.10,0.00
Robert Tonyan,TE,MIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,121.00,1.00,0.00,0.00
Luke Farrell,TE,JAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.10,123.00,0.90,0.00,0.00
Cade Stover,TE,HOU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,120.00,1.00,0.00,0.00
Darnell Washington,TE,PIT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.50,116.40,1.00,0.00,0.00
Brayden Willis,TE,SF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,121.00,1.00,0.00,0.00
Josh Whyle,TE,TEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.20,124.30,0.80,0.10,0.00
Davis Allen,TE,LAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,115.00,1.00,0.00,0.00
Armani Rogers,TE,WAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,119.00,1.00,0.00,0.00
Cole Turner,TE,WAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,119.00,1.00,0.00,0.00
Drew Sample,TE,CIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.30,108.50,0.90,0.00,0.00
Payne Durham,TE,TB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,118.50,0.90,0.00,0.00
Travis Vokolek,TE,ARI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,102.00,1.00,0.00,0.00
Josiah Deguara,TE,JAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,95.00,1.00,0.00,0.00
Albert Okwuegbunam Jr.,TE,PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,103.00,1.00,0.00,0.00
Charlie Kolar,TE,BAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,104.00,1.00,0.00,0.00
Cole Fotheringham,TE,LV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,99.00,1.00,0.00,0.00
Nick Vannett,TE,TEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,104.00,1.00,0.00,0.00
Eric Saubert,TE,SF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,99.00,1.00,0.00,0.00
Erick All Jr.,TE,CIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.80,103.80,0.80,0.00,0.00
Drew Ogletree,TE,IND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.10,107.30,0.80,0.10,0.00
La'Michael Pettway,TE,NE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,91.00,1.00,0.00,0.00
Jaheim Bell,TE,NE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,91.00,1.00,0.00,0.00
Ross Dwelley,TE,ATL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.10,105.50,0.80,0.00,0.00
AJ Barner,TE,SEA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.80,97.90,0.70,0.10,0.00
Lucas Krull,TE,DEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.20,90.80,0.80,0.00,0.00
Peyton Hendershot,TE,DAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.30,84.50,0.80,0.10,0.00
Cameron Latu,TE,SF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.60,87.40,0.70,0.00,0.00
Jared Wiley,TE,KC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,84.20,0.70,0.00,0.00
Irv Smith Jr.,TE,KC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,72.10,0.90,0.10,0.00
Ko Kieft,TE,TB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50,75.90,0.60,0.10,0.00
Hunter Long,TE,LAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.70,73.00,0.70,0.00,0.00
C.J. Uzomah,TE,PHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.70,69.30,0.60,0.00,0.00
Giovanni Ricci,TE,CLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.20,71.80,0.50,0.10,0.00
Tip Reiman,TE,ARI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.60,74.70,0.40,0.10,0.00
Charlie Woerner,TE,ATL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.90,38.10,0.30,0.00,0.00